first_name,last_name,email,outcome,Remaining Goal Amount
Calogero,Cross,calogero.cross@mercantini.it,live,153288.00
Lauretta,Neal,lauretta.neal@hotmail.de,live,151747.00
Chantal,Armas,chantal.armas@jenkins.net,live,98164.00
Ariadna,Geisel,ariadna.geisel@rangel.com,live,88154.00
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,live,72323.00
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,live,71872.00
Henry,Gucci,henry.gucci@leleu.fr,live,41198.00
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,live,40291.00
Svenja,Perrin,svenja.perrin@berger.com,live,8362.00
Caroline,Reeves,caroline.reeves@yahoo.com,live,3768.00
Katarina,Clarke,katarina.clarke@hotmail.com.au,live,3739.00
Imelda,Guerin,imelda.guerin@stumpf.net,live,1559.00
Danny,Farrell,danny.farrell@hotmail.com,live,1503.00
Tobias,Carbajal,tobias.carbajal@live.com,live,426.00
